GameFlag(0) GF_Unused_EVT_00
GameFlag(168) GF_MAC01_UnlockedLetter_0F
GameFlag(169) GF_MAC01_UnlockedLetter_10
GameFlag(170) GF_MAC01_UnlockedLetter_11
GameFlag(171) GF_MAC01_UnlockedLetter_12
GameFlag(172) GF_MAC01_ReadLetter_00
GameFlag(173) GF_MAC01_ReadLetter_01
GameFlag(174) GF_MAC01_ReadLetter_02
GameFlag(175) GF_MAC01_ReadLetter_03
GameFlag(176) GF_MAC01_ReadLetter_04
GameFlag(177) GF_MAC01_ReadLetter_05
GameFlag(178) GF_MAC01_ReadLetter_06
GameFlag(179) GF_MAC01_ReadLetter_07
GameFlag(180) GF_MAC01_ReadLetter_08
GameFlag(181) GF_MAC01_ReadLetter_09
GameFlag(182) GF_MAC01_ReadLetter_0A
GameFlag(183) GF_MAC01_ReadLetter_0B
GameFlag(184) GF_MAC01_ReadLetter_0C
GameFlag(185) GF_MAC01_ReadLetter_0D
GameFlag(186) GF_MAC01_ReadLetter_0E
GameFlag(187) GF_MAC01_ReadLetter_0F
GameFlag(188) GF_MAC01_ReadLetter_10
GameFlag(189) GF_MAC01_ReadLetter_11
GameFlag(190) GF_MAC01_ReadLetter_12
GameFlag(191) GF_MAC00_RussT_HeardLore_00
GameFlag(192) GF_MAC00_RussT_HeardLore_01
GameFlag(193) GF_MAC00_RussT_HeardLore_02
GameFlag(194) GF_MAC00_RussT_HeardLore_03
GameFlag(195) GF_MAC00_RussT_HeardLore_04
GameFlag(196) GF_MAC00_RussT_HeardLore_05
GameFlag(197) GF_MAC00_RussT_HeardLore_06
GameFlag(198) GF_MAC00_RussT_HeardLore_07
GameFlag(199) GF_MAC00_RussT_HeardLore_08
GameFlag(200) GF_MAC00_RussT_HeardLore_09
GameFlag(201) GF_MAC00_RussT_HeardLore_0A
GameFlag(202) GF_MAC00_RussT_HeardLore_0B
GameFlag(203) GF_MAC00_RussT_HeardLore_0C
GameFlag(204) GF_MAC00_RussT_HeardLore_0D
GameFlag(205) GF_MAC00_RussT_HeardLore_0E
GameFlag(206) GF_MAC00_RussT_HeardLore_0F
GameFlag(207) GF_MAC00_RussT_HeardLore_10
GameFlag(208) GF_MAC00_RussT_HeardLore_11
GameFlag(209) GF_MAC00_RussT_HeardLore_12
GameFlag(210) GF_MAC00_RussT_HeardLore_13
GameFlag(211) GF_MAC00_RussT_HeardLore_14
GameFlag(212) GF_MAC00_RussT_HeardLore_15
GameFlag(213) GF_MAC00_RussT_HeardLore_16
GameFlag(214) GF_MAC00_RussT_HeardLore_17
GameFlag(215) GF_MAC00_RussT_HeardLore_18
GameFlag(216) GF_MAC00_RussT_HeardLore_19
GameFlag(217) GF_MAC00_RussT_HeardLore_1A
GameFlag(218) GF_MAC00_RussT_HeardLore_1B
GameFlag(219) GF_MAC00_RussT_HeardLore_1C
GameFlag(220) GF_MAC00_RussT_HeardLore_1D
GameFlag(221) GF_MAC00_RussT_HeardLore_1E
GameFlag(222) GF_MAC00_RussT_HeardLore_1F
GameFlag(223) GF_MAC00_RussT_HeardLore_20
GameFlag(224) GF_MAC00_RussT_HeardLore_21
GameFlag(225) GF_MAC00_RussT_HeardLore_22
GameFlag(226) GF_MAC00_RussT_HeardLore_23
GameFlag(227) GF_Unused_MAC_61
GameFlag(228) GF_Unused_MAC_62
GameFlag(229) GF_Unused_MAC_63
GameFlag(230) GF_Unused_MAC_64
GameFlag(231) GF_Unused_MAC_65
GameFlag(232) GF_Unused_MAC_66
GameFlag(233) GF_Unused_MAC_67
GameFlag(234) GF_Unused_MAC_68
GameFlag(235) GF_Unused_MAC_69
GameFlag(236) GF_Unused_MAC_6A
GameFlag(237) GF_Unused_MAC_6B
GameFlag(238) GF_Unused_MAC_6C
GameFlag(239) GF_Unused_MAC_6D
GameFlag(240) GF_Unused_MAC_6E
GameFlag(241) GF_MAC00_Met_RussT
GameFlag(242) GF_MAC00_Met_TheMaster
GameFlag(243) GF_MAC00_DictionaryStolen
GameFlag(244) GF_MAC00_DictionaryReturned
GameFlag(245) GF_MAC00_TranslatedMysteryNote
GameFlag(246) GF_Unused_MAC_74
GameFlag(247) GF_MAC01_ShyGuyTookOverShop
GameFlag(248) GF_MAC00_ShyGuyChasedFromShop
GameFlag(249) GF_MAC01_Merlon_Shoo1
GameFlag(250) GF_MAC01_Merlon_Shoo2
GameFlag(251) GF_MAC01_Merlon_Shoo3
GameFlag(252) GF_MAC01_Merlon_HintFromDarkToads
GameFlag(253) GF_MAC01_Merlon_HeardAboutDream
GameFlag(254) GF_MAC01_QuickChangeDropped
GameFlag(255) GF_MAC01_Item_QuickChange
GameFlag(256) GF_MAC01_Met_Rowf_Early
GameFlag(257) GF_MAC01_Met_Rowf_Late
GameFlag(258) GF_MAC01_CalculatorReturned
GameFlag(259) GF_MAC01_Met_Rhuff
GameFlag(260) GF_MAC01_RowfBadgeAvailableA
GameFlag(261) GF_MAC01_RowfBadgeAvailableB
GameFlag(262) GF_MAC01_RowfBadgeAvailableC
GameFlag(263) GF_MAC01_RowfBadgesChosen
GameFlag(264) GF_MAC01_Met_Postmaster
GameFlag(265) GF_MAC01_CheckedForLetters
GameFlag(266) GF_MAC01_MailbagReturned
GameFlag(267) GF_Unused_MAC_89
GameFlag(268) GF_MAC01_CalculatorStolen
GameFlag(269) GF_MAC01_MailbagStolen
GameFlag(270) GF_MAC01_ChasedShyGuyFromToadHouse
GameFlag(271) GF_MAC01_ShyGuysTramplingGarden
GameFlag(272) GF_MAC01_ChasedShyGuysFromGardenA
GameFlag(273) GF_MAC01_ChasedShyGuysFromGardenB
GameFlag(274) GF_MAC02_HeardAboutMinhT
GameFlag(275) GF_MAC01_HeardAboutBubulbs
GameFlag(276) GF_MAC01_Planted_MagicalSeed1
GameFlag(277) GF_MAC01_Planted_MagicalSeed2
GameFlag(278) GF_MAC01_Planted_MagicalSeed3
GameFlag(279) GF_MAC01_Planted_MagicalSeed4
GameFlag(280) GF_MAC02_Met_TayceT
GameFlag(281) GF_MAC02_TayceT_HoldingCake
GameFlag(282) GF_MAC02_TayceT_HasCookbook
GameFlag(283) GF_MAC02_Gift_MagicalSeed1
GameFlag(284) GF_MAC03_BombedRock
GameFlag(285) GF_MAC03_Conductor_ThankYouA
GameFlag(286) GF_MAC03_ShyGuyBlockingTracks
GameFlag(287) GF_MAC03_ShyGuyChasedOff
GameFlag(288) GF_MAC03_Conductor_ThankYouB
GameFlag(289) GF_MAC04_Item_ToyTrain
GameFlag(290) GF_MAC04_StoreroomKeyStolen
GameFlag(291) GF_MAC04_Met_ChetRippo
GameFlag(292) GF_MAC04_HeardGoombaFamilyArgument
GameFlag(293) GF_MAC05_SimonGaveLyrics
GameFlag(294) GF_MAC05_SimonGotMelody
GameFlag(295) GF_MAC00_HiddenPanel
GameFlag(296) GF_Unused_MAC_A6
GameFlag(297) GF_MAC02_HiddenPanel
GameFlag(298) GF_MAC03_HiddenPanel
GameFlag(299) GF_Unused_MAC_A9
GameFlag(300) GF_MAC05_HiddenPanel
GameFlag(301) GF_MAC00_Item_StarPiece
GameFlag(302) GF_MAC01_Tree1_StarPiece
GameFlag(303) GF_MAC04_Item_SnowmanDoll
GameFlag(304) GF_MAC04_Item_VoltShroom
GameFlag(305) GF_MAC04_Item_DizzyDial
GameFlag(306) GF_MAC05_MultiCoinBrick
GameFlag(307) GF_MAC01_KootFavor_ReadNewsBulletin
GameFlag(308) GF_MAC01_KootFavor_ReadGossipBulletin
GameFlag(309) GF_MAC05_Met_Simon
GameFlag(310) GF_MAC02_DiscoveredRecipe_00
GameFlag(311) GF_MAC02_DiscoveredRecipe_01
GameFlag(312) GF_MAC02_DiscoveredRecipe_02
GameFlag(313) GF_MAC02_DiscoveredRecipe_03
GameFlag(314) GF_MAC02_DiscoveredRecipe_04
GameFlag(315) GF_MAC02_DiscoveredRecipe_05
GameFlag(316) GF_MAC02_DiscoveredRecipe_06
GameFlag(317) GF_MAC02_DiscoveredRecipe_07
GameFlag(318) GF_MAC02_DiscoveredRecipe_08
GameFlag(319) GF_MAC02_DiscoveredRecipe_09
GameFlag(320) GF_MAC02_DiscoveredRecipe_0A
GameFlag(321) GF_MAC02_DiscoveredRecipe_0B
GameFlag(322) GF_MAC02_DiscoveredRecipe_0C
GameFlag(323) GF_MAC02_DiscoveredRecipe_0D
GameFlag(324) GF_MAC02_DiscoveredRecipe_0E
GameFlag(325) GF_MAC02_DiscoveredRecipe_0F
GameFlag(326) GF_MAC02_DiscoveredRecipe_10
GameFlag(327) GF_MAC02_DiscoveredRecipe_11
GameFlag(328) GF_MAC02_DiscoveredRecipe_12
GameFlag(329) GF_MAC02_DiscoveredRecipe_13
GameFlag(330) GF_MAC02_DiscoveredRecipe_14
GameFlag(331) GF_MAC02_DiscoveredRecipe_15
GameFlag(332) GF_MAC02_DiscoveredRecipe_16
GameFlag(333) GF_MAC02_DiscoveredRecipe_17
GameFlag(334) GF_MAC02_DiscoveredRecipe_18
GameFlag(335) GF_MAC02_DiscoveredRecipe_19
GameFlag(336) GF_MAC02_DiscoveredRecipe_1A
GameFlag(337) GF_MAC02_DiscoveredRecipe_1B
GameFlag(338) GF_MAC02_DiscoveredRecipe_1C
GameFlag(339) GF_MAC02_DiscoveredRecipe_1D
GameFlag(340) GF_MAC02_DiscoveredRecipe_1E
GameFlag(341) GF_MAC02_DiscoveredRecipe_1F
GameFlag(342) GF_MAC02_DiscoveredRecipe_20
GameFlag(343) GF_MAC02_DiscoveredRecipe_21
GameFlag(344) GF_MAC02_DiscoveredRecipe_22
GameFlag(345) GF_MAC02_DiscoveredRecipe_23
GameFlag(346) GF_MAC02_DiscoveredRecipe_24
GameFlag(347) GF_MAC02_DiscoveredRecipe_25
GameFlag(348) GF_MAC02_DiscoveredRecipe_26
GameFlag(349) GF_MAC02_DiscoveredRecipe_27
GameFlag(350) GF_MAC02_DiscoveredRecipe_28
GameFlag(351) GF_MAC02_DiscoveredRecipe_29
GameFlag(352) GF_MAC02_DiscoveredRecipe_2A
GameFlag(353) GF_MAC02_DiscoveredRecipe_2B
GameFlag(354) GF_MAC02_DiscoveredRecipe_2C
GameFlag(355) GF_MAC02_DiscoveredRecipe_2D
GameFlag(356) GF_MAC02_DiscoveredRecipe_2E
GameFlag(357) GF_MAC02_DiscoveredRecipe_2F
GameFlag(358) GF_MAC02_DiscoveredRecipe_30
GameFlag(359) GF_MAC02_DiscoveredRecipe_31
GameFlag(360) GF_MAC02_DiscoveredRecipe_32
GameFlag(361) GF_MAC02_DiscoveredRecipe_33
GameFlag(362) GF_MAC03_UnlockedPlayroom
GameFlag(363) GF_MGM00_Met_Receptionist
GameFlag(364) GF_MGM_Unlocked_JumpAttack
GameFlag(365) GF_MGM_Met_JumpAttack
GameFlag(366) GF_MGM_Unlocked_SmashAttack
GameFlag(367) GF_MGM_Met_SmashAttack
GameFlag(368) GF_MAC01_BoughtBadgeFromRowf
GameFlag(369) GF_Unused_MAC_EF
GameFlag(370) GF_Unused_MAC_F0
GameFlag(371) GF_Unused_MAC_F1
GameFlag(372) GF_Unused_MAC_F2
GameFlag(373) GF_Unused_MAC_F3
GameFlag(374) GF_Unused_MAC_F4
GameFlag(375) GF_Unused_MAC_F5
GameFlag(376) GF_Unused_MAC_F6
GameFlag(377) GF_Unused_MAC_F7
GameFlag(378) GF_Unused_MAC_F8
GameFlag(379) GF_Unused_MAC_F9
GameFlag(380) GF_Unused_MAC_FA
GameFlag(381) GF_Unused_MAC_FB
GameFlag(382) GF_Unused_MAC_FC
GameFlag(383) GF_Unused_MAC_FD
GameFlag(384) GF_Unused_MAC_FE
GameFlag(385) GF_Unused_MAC_FF
GameFlag(386) GF_Unused_MAC_100
GameFlag(387) GF_Unused_MAC_101
GameFlag(388) GF_Unused_TIK_00
GameFlag(389) GF_TIK15_Met_RipCheato
GameFlag(390) GF_TIK02_BoardedFloor
GameFlag(391) GF_TIK02_Hammer1Block
GameFlag(392) GF_TIK02_Hammer2Block
GameFlag(393) GF_TIK14_BombedWall
GameFlag(394) GF_TIK01_Hammer2Block
GameFlag(395) GF_TIK12_Hammer3BlockA
GameFlag(396) GF_TIK12_Hammer3BlockB
GameFlag(397) GF_TIK23_Hammer2Block
GameFlag(398) GF_TIK24_Hammer3Block
GameFlag(399) GF_TIK02_Chest_ShrinkStomp
GameFlag(400) GF_TIK03_ItemBlock_SnowmanDoll
GameFlag(401) GF_TIK03_ItemBlock_CoinA
GameFlag(402) GF_TIK03_ItemBlock_CoinB
GameFlag(403) GF_TIK05_Chest_PowerSmash
GameFlag(404) GF_TIK07_Item_StarPiece
GameFlag(405) GF_TIK10_HiddenItem_CoinA
GameFlag(406) GF_TIK10_HiddenItem_CoinB
GameFlag(407) GF_TIK10_HiddenItem_CoinC
GameFlag(408) GF_TIK18_HiddenItem_SuperShroom
GameFlag(409) GF_TIK18_MultiCoinBrick
GameFlag(410) GF_TIK20_ItemBlock_ShootingStar
GameFlag(411) GF_TIK21_ItemBlock_Coin
GameFlag(412) GF_TIK21_HiddenItem_CoinA
GameFlag(413) GF_TIK21_HiddenItem_CoinB
GameFlag(414) GF_TIK21_HiddenItem_CoinC
GameFlag(415) GF_TIK21_HiddenItem_CoinD
GameFlag(416) GF_TIK23_HiddenItem_MapleSyrup
GameFlag(417) GF_TIK23_HiddenItem_StopWatch
GameFlag(418) GF_TIK23_HiddenItem_VoltShroom
GameFlag(419) GF_TIK23_ItemBlock_Coin
GameFlag(420) GF_TIK24_HiddenItem_LifeShroom
GameFlag(421) GF_TIK24_ItemBlock_CoinA
GameFlag(422) GF_TIK24_ItemBlock_CoinB
GameFlag(423) GF_TIK25_GiantChest
GameFlag(424) GF_TIK05_SpringBrick
GameFlag(425) GF_TIK25_SpringBrickA
GameFlag(426) GF_TIK25_SpringBrickB
GameFlag(427) GF_TIK_DefeatedOneBlooper
GameFlag(428) GF_TIK_DefeatedTwoBloopers
GameFlag(429) GF_TIK01_Defeated_Blooper
GameFlag(430) GF_TIK02_Defeated_Blooper
GameFlag(431) GF_TIK08_Defeated_Blooper
GameFlag(432) GF_TIK09_Defeated_Ambush
GameFlag(433) GF_TIK07_SuperBlock
GameFlag(434) GF_TIK10_SuperBlock
GameFlag(435) GF_TIK02_SuperBlock
GameFlag(436) GF_TIK17_SuperBlock
GameFlag(437) GF_TIK19_SuperBlock
GameFlag(438) GF_Tutorial_SuperBlock
GameFlag(439) GF_Unused_TIK_33
GameFlag(440) GF_Unused_TIK_34
GameFlag(441) GF_Unused_TIK_35
GameFlag(442) GF_Unused_TIK_36
GameFlag(443) GF_Unused_TIK_37
GameFlag(444) GF_Unused_TIK_38
GameFlag(445) GF_Unused_TIK_39
GameFlag(446) GF_Unused_TIK_3A
GameFlag(447) GF_Unused_TIK_3B
GameFlag(448) GF_Unused_TIK_3C
GameFlag(449) GF_Unused_TIK_3D
GameFlag(450) GF_Unused_TIK_3E
GameFlag(451) GF_Unused_TIK_3F
GameFlag(452) GF_Unused_TIK_40
GameFlag(453) GF_Unused_TIK_41
GameFlag(454) GF_Unused_TIK_42
GameFlag(455) GF_Unused_TIK_43
GameFlag(456) GF_Unused_TIK_44
GameFlag(457) GF_Unused_TIK_45
GameFlag(458) GF_Unused_TIK_46
GameFlag(459) GF_Unused_KGR_00
GameFlag(460) GF_Unused_KGR_01
GameFlag(461) GF_Unused_KGR_02
GameFlag(462) GF_Unused_KGR_03
GameFlag(463) GF_Unused_KGR_04
GameFlag(464) GF_Unused_KGR_05
GameFlag(465) GF_Unused_KGR_06
GameFlag(466) GF_Unused_KGR_07
GameFlag(467) GF_Unused_KGR_08
GameFlag(468) GF_Unused_KGR_09
GameFlag(469) GF_Unused_KGR_0A
GameFlag(470) GF_Unused_KGR_0B
GameFlag(471) GF_Unused_KGR_0C
GameFlag(472) GF_Unused_KGR_0D
GameFlag(473) GF_Unused_KGR_0E
GameFlag(474) GF_Unused_KGR_0F
GameFlag(475) GF_Unused_KGR_10
GameFlag(476) GF_Unused_KGR_11
GameFlag(477) GF_Unused_KGR_12
GameFlag(478) GF_Unused_KGR_13
GameFlag(479) GF_KKJ14_OpenedPassage
GameFlag(480) GF_KKJ14_RevealedButton
GameFlag(481) GF_KKJ14_SkipSecretPassage
GameFlag(482) GF_KKJ20_PeachMet_ToadInHiding
GameFlag(483) GF_KKJ17_FoundMagicChest
GameFlag(484) GF_KKJ16_Item_PowerRush
GameFlag(485) GF_KKJ16_Gift_ShootingStar
GameFlag(486) GF_KKJ17_Item_DeepFocus
GameFlag(487) GF_KKJ20_Chest_LastStand
GameFlag(488) GF_KKJ29_PeachWonJamminJelly
GameFlag(489) GF_KKJ_Stored_PowerRush
GameFlag(490) GF_KKJ_Stored_ShootingStar
GameFlag(491) GF_KKJ_Stored_DeepFocus
GameFlag(492) GF_KKJ_Stored_LastStand
GameFlag(493) GF_KKJ_Stored_JamminJelly
GameFlag(494) GF_KKJ_Retrieved_PowerRush
GameFlag(495) GF_KKJ_Retrieved_ShootingStar
GameFlag(496) GF_KKJ_Retrieved_DeepFocus
GameFlag(497) GF_KKJ_Retrieved_LastStand
GameFlag(498) GF_KKJ_Retrieved_JamminJelly
GameFlag(499) GF_KKJ18_GourmetGuy_GaveKey
GameFlag(500) GF_KKJ11_UnlockedKitchen
GameFlag(501) GF_KKJ11_TrickedGuard
GameFlag(502) GF_KKJ10_UnlockedDoor
GameFlag(503) GF_KKJ12_TrickedGuard
GameFlag(504) GF_KKJ16_Item_LifeShroom
GameFlag(505) GF_KKJ20_Met_ToadInHiding
GameFlag(506) GF_KKJ13_BowserTaunts
GameFlag(507) GF_KKJ23_BowserFledToTower
GameFlag(508) GF_KKJ25_Defeated_Kammy
GameFlag(509) GF_KKJ25_Defeated_Bowser
GameFlag(510) GF_KKJ25_Visited
GameFlag(511) GF_Unused_KKJ_20
GameFlag(512) GF_Unused_KKJ_21
GameFlag(513) GF_Unused_KKJ_22
GameFlag(514) GF_Unused_KKJ_23
GameFlag(515) GF_Unused_KKJ_24
GameFlag(516) GF_Unused_KKJ_25
GameFlag(517) GF_Unused_KKJ_26
GameFlag(518) GF_Unused_KKJ_27
GameFlag(519) GF_Unused_KKJ_28
GameFlag(520) GF_Unused_KKJ_29
GameFlag(521) GF_Unused_KKJ_2A
GameFlag(522) GF_Unused_KKJ_2B
GameFlag(523) GF_Unused_KKJ_2C
GameFlag(524) GF_Unused_KKJ_2D
GameFlag(525) GF_Unused_KKJ_2E
GameFlag(526) GF_Unused_KKJ_2F
GameFlag(527) GF_Unused_KKJ_30
GameFlag(528) GF_Unused_KKJ_31
GameFlag(529) GF_Unused_KKJ_32
GameFlag(530) GF_Unused_KKJ_33
GameFlag(531) GF_Unused_HOS_00
GameFlag(532) GF_HOS04_Visited
GameFlag(533) GF_Unused_HOS_02
GameFlag(534) GF_Unused_HOS_03
GameFlag(535) GF_HOS06_Met_Merluvlee
GameFlag(536) GF_HOS06_MerluvleeRequestedCrystalBall
GameFlag(537) GF_HOS06_Gift_MerluvleesAutograph
GameFlag(538) GF_HOS00_HiddenPanel
GameFlag(539) GF_HOS01_HiddenPanel
GameFlag(540) GF_HOS06_HiddenPanel
GameFlag(541) GF_Unused_HOS_0A
GameFlag(542) GF_Unused_HOS_0B
GameFlag(543) GF_Unused_HOS_0C
GameFlag(544) GF_HOS01_Item_StarPiece
GameFlag(545) GF_Unused_HOS_0E
GameFlag(546) GF_Unused_HOS_0F
GameFlag(547) GF_Unused_HOS_10
GameFlag(548) GF_Unused_HOS_11
