EVT_SAVE_FLAG(0) GF_Unused_EVT_00
EVT_SAVE_FLAG(45) GF_KMR11_GoombaBrosFledToCastle
EVT_SAVE_FLAG(46) GF_KMR02_Item_ShootingStar
EVT_SAVE_FLAG(47) GF_KMR02_Bush2_Coin
EVT_SAVE_FLAG(48) GF_KMR02_Tree1_Goomnut
EVT_SAVE_FLAG(49) GF_KMR02_Item_FireFlower
EVT_SAVE_FLAG(50) GF_KMR03_ItemBlock_Coin
EVT_SAVE_FLAG(51) GF_Unused_KMR_15
EVT_SAVE_FLAG(52) GF_KMR03_HiddenItem_RepelGel
EVT_SAVE_FLAG(53) GF_KMR03_Tree1_Mushroom
EVT_SAVE_FLAG(54) GF_KMR03_Hammer1Block
EVT_SAVE_FLAG(55) GF_Unused_KMR_19
EVT_SAVE_FLAG(56) GF_KMR03_Item_CoinA
EVT_SAVE_FLAG(57) GF_KMR03_Item_CoinB
EVT_SAVE_FLAG(58) GF_KMR03_Item_CoinC
EVT_SAVE_FLAG(59) GF_KMR03_Item_CoinD
EVT_SAVE_FLAG(60) GF_KMR04_Tree1_Coin
EVT_SAVE_FLAG(61) GF_KMR04_Tree2_Coin
EVT_SAVE_FLAG(62) GF_KMR04_Bush1_Coin
EVT_SAVE_FLAG(63) GF_KMR04_Bush2_Coin
EVT_SAVE_FLAG(64) GF_KMR04_Bush3_CoinA
EVT_SAVE_FLAG(65) GF_KMR04_Bush3_CoinB
EVT_SAVE_FLAG(66) GF_KMR04_Bush4_Coin
EVT_SAVE_FLAG(67) GF_KMR04_Bush5_Coin
EVT_SAVE_FLAG(68) GF_Unused_KMR_26
EVT_SAVE_FLAG(69) GF_Unused_KMR_27
EVT_SAVE_FLAG(70) GF_KMR04_MultiCoinBrick
EVT_SAVE_FLAG(71) GF_KMR04_Hammer1Block
EVT_SAVE_FLAG(72) GF_KMR05_EnemyWarning
EVT_SAVE_FLAG(73) GF_KMR05_Tree1_Coin
EVT_SAVE_FLAG(74) GF_KMR05_Item_StarPiece
EVT_SAVE_FLAG(75) GF_Unused_KMR_2D
EVT_SAVE_FLAG(76) GF_Unused_KMR_2E
EVT_SAVE_FLAG(77) GF_KMR09_ItemBlock_CoinA
EVT_SAVE_FLAG(78) GF_KMR09_ItemBlock_CoinB
EVT_SAVE_FLAG(79) GF_KMR06_Item_Mushroom
EVT_SAVE_FLAG(80) GF_KMR06_BadgeBlock_CloseCall
EVT_SAVE_FLAG(81) GF_KMR11_ItemBlock_SuperShroom
EVT_SAVE_FLAG(82) GF_KMR11_Tree1_StarPiece
EVT_SAVE_FLAG(83) GF_KMR11_Tree2_Coin
EVT_SAVE_FLAG(84) GF_KMR10_Chest_HammerThrow
EVT_SAVE_FLAG(85) GF_KMR10_ItemBlock_SleepySheep
EVT_SAVE_FLAG(86) GF_KMR00_HiddenPanel
EVT_SAVE_FLAG(87) GF_Unused_KMR_39
EVT_SAVE_FLAG(88) GF_KMR03_HiddenPanel
EVT_SAVE_FLAG(89) GF_Unused_KMR_3B
EVT_SAVE_FLAG(90) GF_KMR11_HiddenPanel
EVT_SAVE_FLAG(91) GF_KMR10_UnreadFlagForSpring
EVT_SAVE_FLAG(92) GF_Unused_KMR_3E
EVT_SAVE_FLAG(93) GF_Unused_KMR_3F
EVT_SAVE_FLAG(94) GF_Tutorial_Badges
EVT_SAVE_FLAG(95) GF_Tutorial_SaveBlock
EVT_SAVE_FLAG(96) GF_Tutorial_HeartBlock
EVT_SAVE_FLAG(97) GF_Tutorial_GotItem
EVT_SAVE_FLAG(98) GF_KMR20_ReunitedWithLuigi
EVT_SAVE_FLAG(99) GF_KMR20_Gift_LuigisAutograph
EVT_SAVE_FLAG(100) GF_KMR02_Gift_TheTape
EVT_SAVE_FLAG(101) GF_Tutorial_GotStarPiece
EVT_SAVE_FLAG(102) GF_FoughtTheMaster
EVT_SAVE_FLAG(103) GF_KMR20_ReadThankYouLetterFromKoopaVillage
EVT_SAVE_FLAG(104) GF_KMR02_Goombario_RelayedMessage
EVT_SAVE_FLAG(105) GF_KMR20_CaughtLuigiInBasement
EVT_SAVE_FLAG(106) GF_KMR20_CaughtLuigiReadingLetter
EVT_SAVE_FLAG(107) GF_KMR20_FoundLuigisDiary
EVT_SAVE_FLAG(108) GF_KMR20_CheckedDeskForMail
EVT_SAVE_FLAG(109) GF_KMR20_ChasedOffShyGuy
EVT_SAVE_FLAG(110) GF_KMR10_KnockedSpringOutOfTree
EVT_SAVE_FLAG(111) GF_Unused_KMR_51
EVT_SAVE_FLAG(112) GF_Unused_KMR_52
EVT_SAVE_FLAG(113) GF_Unused_KMR_53
EVT_SAVE_FLAG(114) GF_Unused_KMR_54
EVT_SAVE_FLAG(115) GF_Unused_KMR_55
EVT_SAVE_FLAG(116) GF_Unused_KMR_56
EVT_SAVE_FLAG(117) GF_Unused_KMR_57
EVT_SAVE_FLAG(118) GF_Unused_KMR_58
EVT_SAVE_FLAG(119) GF_Unused_KMR_59
EVT_SAVE_FLAG(120) GF_Unused_KMR_5A
EVT_SAVE_FLAG(121) GF_Unused_KMR_5B
EVT_SAVE_FLAG(122) GF_Unused_KMR_5C
EVT_SAVE_FLAG(123) GF_Unused_KMR_5D
EVT_SAVE_FLAG(124) GF_Unused_KMR_5E
EVT_SAVE_FLAG(125) GF_Unused_KMR_5F
EVT_SAVE_FLAG(126) GF_Unused_KMR_60
EVT_SAVE_FLAG(127) GF_Unused_KMR_61
EVT_SAVE_FLAG(128) GF_Unused_KMR_62
EVT_SAVE_FLAG(129) GF_Unused_KMR_63
EVT_SAVE_FLAG(130) GF_Unused_MAC_00
EVT_SAVE_FLAG(131) GF_MAC02_UnlockedHouse
EVT_SAVE_FLAG(132) GF_MAC02_Item_OddKey
EVT_SAVE_FLAG(133) GF_MAC01_UnlockedRowfBadge_00
EVT_SAVE_FLAG(134) GF_MAC01_UnlockedRowfBadge_01
EVT_SAVE_FLAG(135) GF_MAC01_UnlockedRowfBadge_02
EVT_SAVE_FLAG(136) GF_MAC01_UnlockedRowfBadge_03
EVT_SAVE_FLAG(137) GF_MAC01_UnlockedRowfBadge_04
EVT_SAVE_FLAG(138) GF_MAC01_UnlockedRowfBadge_05
EVT_SAVE_FLAG(139) GF_MAC01_UnlockedRowfBadge_06
EVT_SAVE_FLAG(140) GF_MAC01_UnlockedRowfBadge_07
EVT_SAVE_FLAG(141) GF_MAC01_UnlockedRowfBadge_08
EVT_SAVE_FLAG(142) GF_MAC01_UnlockedRowfBadge_09
EVT_SAVE_FLAG(143) GF_MAC01_UnlockedRowfBadge_0A
EVT_SAVE_FLAG(144) GF_MAC01_UnlockedRowfBadge_0B
EVT_SAVE_FLAG(145) GF_MAC01_UnlockedRowfBadge_0C
EVT_SAVE_FLAG(146) GF_MAC01_UnlockedRowfBadge_0D
EVT_SAVE_FLAG(147) GF_MAC01_UnlockedRowfBadge_0E
EVT_SAVE_FLAG(148) GF_MAC01_UnlockedRowfBadge_0F
EVT_SAVE_FLAG(149) GF_Unused_MAC_13
EVT_SAVE_FLAG(150) GF_Unused_MAC_14
EVT_SAVE_FLAG(151) GF_Unused_MAC_15
EVT_SAVE_FLAG(152) GF_Unused_MAC_16
EVT_SAVE_FLAG(153) GF_MAC01_UnlockedLetter_00
EVT_SAVE_FLAG(154) GF_MAC01_UnlockedLetter_01
EVT_SAVE_FLAG(155) GF_MAC01_UnlockedLetter_02
EVT_SAVE_FLAG(156) GF_MAC01_UnlockedLetter_03
EVT_SAVE_FLAG(157) GF_MAC01_UnlockedLetter_04
EVT_SAVE_FLAG(158) GF_MAC01_UnlockedLetter_05
EVT_SAVE_FLAG(159) GF_MAC01_UnlockedLetter_06
EVT_SAVE_FLAG(160) GF_MAC01_UnlockedLetter_07
EVT_SAVE_FLAG(161) GF_MAC01_UnlockedLetter_08
EVT_SAVE_FLAG(162) GF_MAC01_UnlockedLetter_09
EVT_SAVE_FLAG(163) GF_MAC01_UnlockedLetter_0A
EVT_SAVE_FLAG(164) GF_MAC01_UnlockedLetter_0B
EVT_SAVE_FLAG(165) GF_MAC01_UnlockedLetter_0C
EVT_SAVE_FLAG(166) GF_MAC01_UnlockedLetter_0D
EVT_SAVE_FLAG(167) GF_MAC01_UnlockedLetter_0E
EVT_SAVE_FLAG(168) GF_MAC01_UnlockedLetter_0F
EVT_SAVE_FLAG(169) GF_MAC01_UnlockedLetter_10
EVT_SAVE_FLAG(170) GF_MAC01_UnlockedLetter_11
EVT_SAVE_FLAG(171) GF_MAC01_UnlockedLetter_12
EVT_SAVE_FLAG(172) GF_MAC01_ReadLetter_00
EVT_SAVE_FLAG(173) GF_MAC01_ReadLetter_01
EVT_SAVE_FLAG(174) GF_MAC01_ReadLetter_02
EVT_SAVE_FLAG(175) GF_MAC01_ReadLetter_03
EVT_SAVE_FLAG(176) GF_MAC01_ReadLetter_04
EVT_SAVE_FLAG(177) GF_MAC01_ReadLetter_05
EVT_SAVE_FLAG(178) GF_MAC01_ReadLetter_06
EVT_SAVE_FLAG(179) GF_MAC01_ReadLetter_07
EVT_SAVE_FLAG(180) GF_MAC01_ReadLetter_08
EVT_SAVE_FLAG(181) GF_MAC01_ReadLetter_09
EVT_SAVE_FLAG(182) GF_MAC01_ReadLetter_0A
EVT_SAVE_FLAG(183) GF_MAC01_ReadLetter_0B
EVT_SAVE_FLAG(184) GF_MAC01_ReadLetter_0C
EVT_SAVE_FLAG(185) GF_MAC01_ReadLetter_0D
EVT_SAVE_FLAG(186) GF_MAC01_ReadLetter_0E
EVT_SAVE_FLAG(187) GF_MAC01_ReadLetter_0F
EVT_SAVE_FLAG(188) GF_MAC01_ReadLetter_10
EVT_SAVE_FLAG(189) GF_MAC01_ReadLetter_11
EVT_SAVE_FLAG(190) GF_MAC01_ReadLetter_12
EVT_SAVE_FLAG(191) GF_MAC00_RussT_HeardLore_00
EVT_SAVE_FLAG(192) GF_MAC00_RussT_HeardLore_01
EVT_SAVE_FLAG(193) GF_MAC00_RussT_HeardLore_02
EVT_SAVE_FLAG(194) GF_MAC00_RussT_HeardLore_03
EVT_SAVE_FLAG(195) GF_MAC00_RussT_HeardLore_04
EVT_SAVE_FLAG(196) GF_MAC00_RussT_HeardLore_05
EVT_SAVE_FLAG(197) GF_MAC00_RussT_HeardLore_06
EVT_SAVE_FLAG(198) GF_MAC00_RussT_HeardLore_07
EVT_SAVE_FLAG(199) GF_MAC00_RussT_HeardLore_08
EVT_SAVE_FLAG(200) GF_MAC00_RussT_HeardLore_09
EVT_SAVE_FLAG(201) GF_MAC00_RussT_HeardLore_0A
EVT_SAVE_FLAG(202) GF_MAC00_RussT_HeardLore_0B
EVT_SAVE_FLAG(203) GF_MAC00_RussT_HeardLore_0C
EVT_SAVE_FLAG(204) GF_MAC00_RussT_HeardLore_0D
EVT_SAVE_FLAG(205) GF_MAC00_RussT_HeardLore_0E
EVT_SAVE_FLAG(206) GF_MAC00_RussT_HeardLore_0F
EVT_SAVE_FLAG(207) GF_MAC00_RussT_HeardLore_10
EVT_SAVE_FLAG(208) GF_MAC00_RussT_HeardLore_11
EVT_SAVE_FLAG(209) GF_MAC00_RussT_HeardLore_12
EVT_SAVE_FLAG(210) GF_MAC00_RussT_HeardLore_13
EVT_SAVE_FLAG(211) GF_MAC00_RussT_HeardLore_14
EVT_SAVE_FLAG(212) GF_MAC00_RussT_HeardLore_15
EVT_SAVE_FLAG(213) GF_MAC00_RussT_HeardLore_16
EVT_SAVE_FLAG(214) GF_MAC00_RussT_HeardLore_17
EVT_SAVE_FLAG(215) GF_MAC00_RussT_HeardLore_18
EVT_SAVE_FLAG(216) GF_MAC00_RussT_HeardLore_19
EVT_SAVE_FLAG(217) GF_MAC00_RussT_HeardLore_1A
EVT_SAVE_FLAG(218) GF_MAC00_RussT_HeardLore_1B
EVT_SAVE_FLAG(219) GF_MAC00_RussT_HeardLore_1C
EVT_SAVE_FLAG(220) GF_MAC00_RussT_HeardLore_1D
EVT_SAVE_FLAG(221) GF_MAC00_RussT_HeardLore_1E
EVT_SAVE_FLAG(222) GF_MAC00_RussT_HeardLore_1F
EVT_SAVE_FLAG(223) GF_MAC00_RussT_HeardLore_20
EVT_SAVE_FLAG(224) GF_MAC00_RussT_HeardLore_21
EVT_SAVE_FLAG(225) GF_MAC00_RussT_HeardLore_22
EVT_SAVE_FLAG(226) GF_MAC00_RussT_HeardLore_23
EVT_SAVE_FLAG(227) GF_Unused_MAC_61
EVT_SAVE_FLAG(228) GF_Unused_MAC_62
EVT_SAVE_FLAG(229) GF_Unused_MAC_63
EVT_SAVE_FLAG(230) GF_Unused_MAC_64
EVT_SAVE_FLAG(231) GF_Unused_MAC_65
EVT_SAVE_FLAG(232) GF_Unused_MAC_66
EVT_SAVE_FLAG(233) GF_Unused_MAC_67
EVT_SAVE_FLAG(234) GF_Unused_MAC_68
EVT_SAVE_FLAG(235) GF_Unused_MAC_69
EVT_SAVE_FLAG(236) GF_Unused_MAC_6A
EVT_SAVE_FLAG(237) GF_Unused_MAC_6B
EVT_SAVE_FLAG(238) GF_Unused_MAC_6C
EVT_SAVE_FLAG(239) GF_Unused_MAC_6D
EVT_SAVE_FLAG(240) GF_Unused_MAC_6E
EVT_SAVE_FLAG(241) GF_MAC00_Met_RussT
EVT_SAVE_FLAG(242) GF_MAC00_Met_TheMaster
EVT_SAVE_FLAG(243) GF_MAC00_DictionaryStolen
EVT_SAVE_FLAG(244) GF_MAC00_DictionaryReturned
EVT_SAVE_FLAG(245) GF_MAC00_TranslatedMysteryNote
EVT_SAVE_FLAG(246) GF_Unused_MAC_74
EVT_SAVE_FLAG(247) GF_MAC01_ShyGuyTookOverShop
EVT_SAVE_FLAG(248) GF_MAC00_ShyGuyChasedFromShop
EVT_SAVE_FLAG(249) GF_MAC01_Merlon_Shoo1
EVT_SAVE_FLAG(250) GF_MAC01_Merlon_Shoo2
EVT_SAVE_FLAG(251) GF_MAC01_Merlon_Shoo3
EVT_SAVE_FLAG(252) GF_MAC01_Merlon_HintFromDarkToads
EVT_SAVE_FLAG(253) GF_MAC01_Merlon_HeardAboutDream
EVT_SAVE_FLAG(254) GF_MAC01_QuickChangeDropped
EVT_SAVE_FLAG(255) GF_MAC01_Item_QuickChange
EVT_SAVE_FLAG(256) GF_MAC01_Met_Rowf_Early
EVT_SAVE_FLAG(257) GF_MAC01_Met_Rowf_Late
EVT_SAVE_FLAG(258) GF_MAC01_CalculatorReturned
EVT_SAVE_FLAG(259) GF_MAC01_Met_Rhuff
EVT_SAVE_FLAG(260) GF_MAC01_RowfBadgeAvailableA
EVT_SAVE_FLAG(261) GF_MAC01_RowfBadgeAvailableB
EVT_SAVE_FLAG(262) GF_MAC01_RowfBadgeAvailableC
EVT_SAVE_FLAG(263) GF_MAC01_RowfBadgesChosen
EVT_SAVE_FLAG(264) GF_MAC01_Met_Postmaster
EVT_SAVE_FLAG(265) GF_MAC01_CheckedForLetters
EVT_SAVE_FLAG(266) GF_MAC01_MailbagReturned
EVT_SAVE_FLAG(267) GF_Unused_MAC_89
EVT_SAVE_FLAG(268) GF_MAC01_CalculatorStolen
EVT_SAVE_FLAG(269) GF_MAC01_MailbagStolen
EVT_SAVE_FLAG(270) GF_MAC01_ChasedShyGuyFromToadHouse
EVT_SAVE_FLAG(271) GF_MAC01_ShyGuysTramplingGarden
EVT_SAVE_FLAG(272) GF_MAC01_ChasedShyGuysFromGardenA
EVT_SAVE_FLAG(273) GF_MAC01_ChasedShyGuysFromGardenB
EVT_SAVE_FLAG(274) GF_MAC02_HeardAboutMinhT
EVT_SAVE_FLAG(275) GF_MAC01_HeardAboutBubulbs
EVT_SAVE_FLAG(276) GF_MAC01_Planted_MagicalSeed1
EVT_SAVE_FLAG(277) GF_MAC01_Planted_MagicalSeed2
EVT_SAVE_FLAG(278) GF_MAC01_Planted_MagicalSeed3
EVT_SAVE_FLAG(279) GF_MAC01_Planted_MagicalSeed4
EVT_SAVE_FLAG(280) GF_MAC02_Met_TayceT
EVT_SAVE_FLAG(281) GF_MAC02_TayceT_HoldingCake
EVT_SAVE_FLAG(282) GF_MAC02_TayceT_HasCookbook
EVT_SAVE_FLAG(283) GF_MAC02_Gift_MagicalSeed1
EVT_SAVE_FLAG(284) GF_MAC03_BombedRock
EVT_SAVE_FLAG(285) GF_MAC03_Conductor_ThankYouA
EVT_SAVE_FLAG(286) GF_MAC03_ShyGuyBlockingTracks
EVT_SAVE_FLAG(287) GF_MAC03_ShyGuyChasedOff
EVT_SAVE_FLAG(288) GF_MAC03_Conductor_ThankYouB
EVT_SAVE_FLAG(289) GF_MAC04_Item_ToyTrain
EVT_SAVE_FLAG(290) GF_MAC04_StoreroomKeyStolen
EVT_SAVE_FLAG(291) GF_MAC04_Met_ChetRippo
EVT_SAVE_FLAG(292) GF_MAC04_HeardGoombaFamilyArgument
EVT_SAVE_FLAG(293) GF_MAC05_SimonGaveLyrics
EVT_SAVE_FLAG(294) GF_MAC05_SimonGotMelody
EVT_SAVE_FLAG(295) GF_MAC00_HiddenPanel
EVT_SAVE_FLAG(296) GF_Unused_MAC_A6
EVT_SAVE_FLAG(297) GF_MAC02_HiddenPanel
EVT_SAVE_FLAG(298) GF_MAC03_HiddenPanel
EVT_SAVE_FLAG(299) GF_Unused_MAC_A9
EVT_SAVE_FLAG(300) GF_MAC05_HiddenPanel
EVT_SAVE_FLAG(301) GF_MAC00_Item_StarPiece
EVT_SAVE_FLAG(302) GF_MAC01_Tree1_StarPiece
EVT_SAVE_FLAG(303) GF_MAC04_Item_SnowmanDoll
EVT_SAVE_FLAG(304) GF_MAC04_Item_VoltShroom
EVT_SAVE_FLAG(305) GF_MAC04_Item_DizzyDial
EVT_SAVE_FLAG(306) GF_MAC05_MultiCoinBrick
EVT_SAVE_FLAG(307) GF_MAC01_KootFavor_ReadNewsBulletin
EVT_SAVE_FLAG(308) GF_MAC01_KootFavor_ReadGossipBulletin
EVT_SAVE_FLAG(309) GF_MAC05_Met_Simon
EVT_SAVE_FLAG(310) GF_MAC02_DiscoveredRecipe_00
EVT_SAVE_FLAG(311) GF_MAC02_DiscoveredRecipe_01
EVT_SAVE_FLAG(312) GF_MAC02_DiscoveredRecipe_02
EVT_SAVE_FLAG(313) GF_MAC02_DiscoveredRecipe_03
EVT_SAVE_FLAG(314) GF_MAC02_DiscoveredRecipe_04
EVT_SAVE_FLAG(315) GF_MAC02_DiscoveredRecipe_05
EVT_SAVE_FLAG(316) GF_MAC02_DiscoveredRecipe_06
EVT_SAVE_FLAG(317) GF_MAC02_DiscoveredRecipe_07
EVT_SAVE_FLAG(318) GF_MAC02_DiscoveredRecipe_08
EVT_SAVE_FLAG(319) GF_MAC02_DiscoveredRecipe_09
EVT_SAVE_FLAG(320) GF_MAC02_DiscoveredRecipe_0A
EVT_SAVE_FLAG(321) GF_MAC02_DiscoveredRecipe_0B
EVT_SAVE_FLAG(322) GF_MAC02_DiscoveredRecipe_0C
EVT_SAVE_FLAG(323) GF_MAC02_DiscoveredRecipe_0D
EVT_SAVE_FLAG(324) GF_MAC02_DiscoveredRecipe_0E
EVT_SAVE_FLAG(325) GF_MAC02_DiscoveredRecipe_0F
EVT_SAVE_FLAG(326) GF_MAC02_DiscoveredRecipe_10
EVT_SAVE_FLAG(327) GF_MAC02_DiscoveredRecipe_11
EVT_SAVE_FLAG(328) GF_MAC02_DiscoveredRecipe_12
EVT_SAVE_FLAG(329) GF_MAC02_DiscoveredRecipe_13
EVT_SAVE_FLAG(330) GF_MAC02_DiscoveredRecipe_14
EVT_SAVE_FLAG(331) GF_MAC02_DiscoveredRecipe_15
EVT_SAVE_FLAG(332) GF_MAC02_DiscoveredRecipe_16
EVT_SAVE_FLAG(333) GF_MAC02_DiscoveredRecipe_17
EVT_SAVE_FLAG(334) GF_MAC02_DiscoveredRecipe_18
EVT_SAVE_FLAG(335) GF_MAC02_DiscoveredRecipe_19
EVT_SAVE_FLAG(336) GF_MAC02_DiscoveredRecipe_1A
EVT_SAVE_FLAG(337) GF_MAC02_DiscoveredRecipe_1B
EVT_SAVE_FLAG(338) GF_MAC02_DiscoveredRecipe_1C
EVT_SAVE_FLAG(339) GF_MAC02_DiscoveredRecipe_1D
EVT_SAVE_FLAG(340) GF_MAC02_DiscoveredRecipe_1E
EVT_SAVE_FLAG(341) GF_MAC02_DiscoveredRecipe_1F
EVT_SAVE_FLAG(342) GF_MAC02_DiscoveredRecipe_20
EVT_SAVE_FLAG(343) GF_MAC02_DiscoveredRecipe_21
EVT_SAVE_FLAG(344) GF_MAC02_DiscoveredRecipe_22
EVT_SAVE_FLAG(345) GF_MAC02_DiscoveredRecipe_23
EVT_SAVE_FLAG(346) GF_MAC02_DiscoveredRecipe_24
EVT_SAVE_FLAG(347) GF_MAC02_DiscoveredRecipe_25
EVT_SAVE_FLAG(348) GF_MAC02_DiscoveredRecipe_26
EVT_SAVE_FLAG(349) GF_MAC02_DiscoveredRecipe_27
EVT_SAVE_FLAG(350) GF_MAC02_DiscoveredRecipe_28
EVT_SAVE_FLAG(351) GF_MAC02_DiscoveredRecipe_29
EVT_SAVE_FLAG(352) GF_MAC02_DiscoveredRecipe_2A
EVT_SAVE_FLAG(353) GF_MAC02_DiscoveredRecipe_2B
EVT_SAVE_FLAG(354) GF_MAC02_DiscoveredRecipe_2C
EVT_SAVE_FLAG(355) GF_MAC02_DiscoveredRecipe_2D
EVT_SAVE_FLAG(356) GF_MAC02_DiscoveredRecipe_2E
EVT_SAVE_FLAG(357) GF_MAC02_DiscoveredRecipe_2F
EVT_SAVE_FLAG(358) GF_MAC02_DiscoveredRecipe_30
EVT_SAVE_FLAG(359) GF_MAC02_DiscoveredRecipe_31
EVT_SAVE_FLAG(360) GF_MAC02_DiscoveredRecipe_32
EVT_SAVE_FLAG(361) GF_MAC02_DiscoveredRecipe_33
EVT_SAVE_FLAG(362) GF_MAC03_UnlockedPlayroom
EVT_SAVE_FLAG(363) GF_MGM00_Met_Receptionist
EVT_SAVE_FLAG(364) GF_MGM_Unlocked_JumpAttack
EVT_SAVE_FLAG(365) GF_MGM_Met_JumpAttack
EVT_SAVE_FLAG(366) GF_MGM_Unlocked_SmashAttack
EVT_SAVE_FLAG(367) GF_MGM_Met_SmashAttack
EVT_SAVE_FLAG(368) GF_MAC01_BoughtBadgeFromRowf
EVT_SAVE_FLAG(369) GF_Unused_MAC_EF
EVT_SAVE_FLAG(370) GF_Unused_MAC_F0
EVT_SAVE_FLAG(371) GF_Unused_MAC_F1
EVT_SAVE_FLAG(372) GF_Unused_MAC_F2
EVT_SAVE_FLAG(373) GF_Unused_MAC_F3
EVT_SAVE_FLAG(374) GF_Unused_MAC_F4
EVT_SAVE_FLAG(375) GF_Unused_MAC_F5
EVT_SAVE_FLAG(376) GF_Unused_MAC_F6
EVT_SAVE_FLAG(377) GF_Unused_MAC_F7
EVT_SAVE_FLAG(378) GF_Unused_MAC_F8
EVT_SAVE_FLAG(379) GF_Unused_MAC_F9
EVT_SAVE_FLAG(380) GF_Unused_MAC_FA
EVT_SAVE_FLAG(381) GF_Unused_MAC_FB
EVT_SAVE_FLAG(382) GF_Unused_MAC_FC
EVT_SAVE_FLAG(383) GF_Unused_MAC_FD
EVT_SAVE_FLAG(384) GF_Unused_MAC_FE
EVT_SAVE_FLAG(385) GF_Unused_MAC_FF
EVT_SAVE_FLAG(386) GF_Unused_MAC_100
EVT_SAVE_FLAG(387) GF_Unused_MAC_101
EVT_SAVE_FLAG(388) GF_Unused_TIK_00
EVT_SAVE_FLAG(389) GF_TIK15_Met_RipCheato
EVT_SAVE_FLAG(390) GF_TIK02_BoardedFloor
EVT_SAVE_FLAG(391) GF_TIK02_Hammer1Block
EVT_SAVE_FLAG(392) GF_TIK02_Hammer2Block
EVT_SAVE_FLAG(393) GF_TIK14_BombedWall
EVT_SAVE_FLAG(394) GF_TIK01_Hammer2Block
EVT_SAVE_FLAG(395) GF_TIK12_Hammer3BlockA
EVT_SAVE_FLAG(396) GF_TIK12_Hammer3BlockB
EVT_SAVE_FLAG(397) GF_TIK23_Hammer2Block
EVT_SAVE_FLAG(398) GF_TIK24_Hammer3Block
EVT_SAVE_FLAG(399) GF_TIK02_Chest_ShrinkStomp
EVT_SAVE_FLAG(400) GF_TIK03_ItemBlock_SnowmanDoll
EVT_SAVE_FLAG(401) GF_TIK03_ItemBlock_CoinA
EVT_SAVE_FLAG(402) GF_TIK03_ItemBlock_CoinB
EVT_SAVE_FLAG(403) GF_TIK05_Chest_PowerSmash1
EVT_SAVE_FLAG(404) GF_TIK07_Item_StarPiece
EVT_SAVE_FLAG(405) GF_TIK10_HiddenItem_CoinA
EVT_SAVE_FLAG(406) GF_TIK10_HiddenItem_CoinB
EVT_SAVE_FLAG(407) GF_TIK10_HiddenItem_CoinC
EVT_SAVE_FLAG(408) GF_TIK18_HiddenItem_SuperShroom
EVT_SAVE_FLAG(409) GF_TIK18_MultiCoinBrick
EVT_SAVE_FLAG(410) GF_TIK20_ItemBlock_ShootingStar
