ActorExists;0x8026DE5C
EnableIdleScript;0x80278B4C
EnableModel;0x802C9288
EnableNpcAI;0x80044CF0
EnableNpcAux;0x80044FF0
EnableNpcBlur;0x802CF2EC
EnableNpcShadow;0x802CF268
EnablePartner;0x802D1EFC
EnablePartnerAI;0x802CF52C
EnablePartnerBlur;0x802456B8
EnablePlayerBlur;0x80274978
EnableSpriteShading;0x802D9A3C
EnableStatusMenu;0x802D5998
EnableTexPanning;0x802C9208
EndActorSpeech;0x802532D0
EndSpeech;0x802D02CC
EnemyCreateTargetList;0x8026E310
EnemyDamageTarget;0x8027CCB4
EnemyFollowupAfflictTarget;0x8027CED4
EnemyTestTarget;0x8027CFB8
EnterDoubleDoor;0x80285E74
EnterSavePoint;0x80285CB0
EnterSingleDoor;0x80285DD4
EnterWalk;0x80285960
EnterWalkShort;0x80285A60
ExitDoubleDoor;0x80285E4C
ExitSingleDoor;0x80285DAC
ExitWalk;0x80285CF4
FXRecoverFP;0x80261C68
FXRecoverHP;0x80261BA8
FadeBackgroundToBlack;0x8003EF00
FadeInMusic;0x802D5DF4
FadeOutMusic;0x802D5CE0
FallPartTo;0x8027A854
FallToGoal;0x80279BEC
FindItem;0x802D6B18
FindKeyItem;0x802D6A14
FlyPartTo;0x8027BF38
FlyToGoal;0x8027B624
ForceCloseMessageBox;0x802513F0
ForceHomePos;0x8026A1EC
ForceNextTarget;0x80298BF0
FreezeBattleCam;0x8024ED78
FullyRestoreHPandFP;0x802D1EC0
FullyRestoreSP;0x802D1EE0
GetActionSuccess;0x80269294
GetActionSuccessCopy;0x802694F8
GetActorAttackBoost;0x8026FC04
GetActorDefenseBoost;0x8026FC6C
GetActorFlags;0x8026CF20
GetActorHP;0x8027C6A0
GetActorLevel;0x8027FD48
GetActorPos;0x8026AAA8
GetActorRotation;0x8026C56C
GetActorScale;0x8026CA84
GetActorSize;0x8027D8E0
GetActorVar;0x8026BFB4
GetActorYaw;0x8026B3C8
GetAngleBetweenNPCs;0x802D4708
GetAngleToNPC;0x802D47B4
GetAngleToPlayer;0x802D4830
GetAnimation;0x8026B238
GetBattleFlags;0x8026CD10
GetBattleFlags2;0x8026CDA0
GetBattleOutcome;0x8004457C
GetBattlePhase;0x80269E28
GetBattleState;0x8026E140
GetBattleVar;0x8026F694
GetBlockResult;0x8026957C
GetCamDistance;0x802CC084
GetCamLookAtObjVector;0x8003F398
GetCamPitch;0x802CBFF4
GetCamPosA;0x802CC0F4
GetCamPosB;0x802CC184
GetCamPosC;0x802CC214
GetCamPosition;0x802CC2A4
GetCamType;0x802CBF64
GetColliderCenter;0x802CA0AC
GetCurrentActorType;0x8027DAD4
GetCurrentPartner;0x802D2B0C
GetCurrentPartnerID;0x802CFC74
GetDamageIntensity;0x80280840
GetDemoState;0x802D9A90
GetDist2D;0x802D5770
GetDistanceToGoal;0x8026E9FC
GetEncounterState;0x8027D7C4
GetEnemyMaxHP;0x8027C748
GetEntryID;0x802CA460
GetGoalPos;0x8026A820
GetGridIndexFromPos;0x802836B8
GetHomePos;0x8026AD74
GetIdleGoal;0x8026A8EC
GetIndexFromHome;0x8026A0D4
GetIndexFromPos;0x8026A05C
GetItemPower;0x802D732C
GetLastDamage;0x8027DB3C
GetLastElement;0x80269E54
GetLastEvent;0x8027C4E0
GetLoadType;0x802CA4C0
GetMapID;0x802CA490
GetMenuSelection;0x802733C4
GetModelCenter;0x802C8F80
GetModelIndex;0x802C8E8C
GetNextPathPos;0x802D5524
GetNpcAnimation;0x802CE160
GetNpcPointer;0x802CDC58
GetNpcPos;0x802CF0F4
GetNpcVar;0x800453BC
GetNpcYaw;0x802CEA10
GetOriginalActorType;0x8027DA68
GetOwnerEncounterTrigger;0x80044600
GetOwnerID;0x8026DE00
GetOwnerTarget;0x8026E8AC
GetPartDispOffset;0x8026BAE8
GetPartEventFlags;0x8026D488
GetPartFlags;0x8026D218
GetPartMovementVar;0x8026C170
GetPartOffset;0x8026AB74
GetPartPos;0x8026AC88
GetPartRotation;0x8026C828
GetPartScale;0x8026CC34
GetPartTarget;0x8026A9B8
GetPartTargetFlags;0x8026D2AC
GetPartYaw;0x8026B4C0
GetPartnerPos;0x802CF438
GetPlayerActionState;0x802D1DD0
GetAttackerActorID;0x8026E974
GetPlayerAnimation;0x802D1E94
GetPlayerHP;0x80274234
GetPlayerPos;0x802D1DFC
GetPlayerTargetYaw;0x802D1D28
GetPushBlock;0x802835C0
GetSelfAnimationFromTable;0x80045734
GetSelfNpcID;0x80045614
GetSelfVar;0x800452C0
GetStatusFlags;0x8026F230
GetTargetListLength;0x8026E864
GetValueByRef;0x802D593C
GotoMap;0x802CA400
GotoMapByID;0x802CA440
GotoMapSpecial;0x802CA420
HPBarToCurrent;0x8026D7A8
HPBarToHome;0x8026D664
HasKeyItem;0x802D699C
HasMerleeCasts;0x8003F3F4
HasMerleeCastsLeft;0x802619C8
HealActor;0x80270CA4
HidePlayerShadow;0x802D0DA0
IdleFlyToGoal;0x8027BBB8
IdleJumpToGoal;0x8027910C
IdleRunToGoal;0x8027A264
IncrementPlayerFP;0x80261D60
IncrementPlayerHP;0x80261D28
InitTargetIterator;0x8026E354
InterpNpcYaw;0x802CEB04
InterpPlayerYaw;0x802D193C
IsMessageBoxDisplayed;0x80251384
IsPlayerWithin;0x802D4964
ItemAfflictEnemy;0x80252924
ItemCheckHit;0x80252D40
ItemDamageEnemy;0x80252728
JumpPartTo;0x8027A4E4
JumpToGoal;0x80278D08
JumpWithBounce;0x80279728
LandJump;0x80279AD4
LoadActionCommand;0x802681C0
LoadBattleDmaData;0x80253624
LoadBattleSection;0x80269DE4
LoadDemoBattle;0x80044264
LoadFreeItemScript;0x8026801C
LoadItemScript;0x80267ED0
LoadModelAnimation;0x802CCCEC
LoadMoveScript;0x80268130
LoadPath;0x802D5430
LoadSettings;0x802CB9F8
LoadStarPowerScript;0x80280950
MakeDoorAdvanced;0x80281CAC
MakeEntity;0x80111D38
MakeItemEntity;0x802D6CC0
MakeLerp;0x802D45B0
MakeNpcs;0x80044298
MakeOwnerTargetIndex;0x8027FBB8
MakeShop;0x80281860
MakeShopOwner;0x80281BD8
MakeStatusField;0x80253B94
MarioEnterStage;0x80284A40
MerleeAttackBonus;0x80288400
MerleeDefenseBonus;0x8028870C
MerleeExpBonus;0x80288A58
MerleeRunOut;0x80288398
ModifyActorDecoration;0x8026EFF0
ModifyColliderFlags;0x802C9DCC
MoveBattleCamOver;0x8024EC08
MultiplyByActorScale;0x80253FDC
MultiplyVec2ByActorScale;0x80254048
MultiplyVec3ByActorScale;0x802540DC
NOP_npc_callback;0x80038470
NOP_state;0x80112B90
NpcFaceNpc;0x802CEE80
NpcFacePlayer;0x802CECC8
NpcFlyTo;0x802CE6FC
NpcJump0;0x802CE6C4
NpcJump1;0x802CE6E0
NpcMoveTo;0x802CE22C
OnDefeatEnemy;0x8003F580
OnFleeBattleDrops;0x8003F6E8
OverrideBattleDmaDest;0x802535F8
PanToTarget;0x802CB79C
ParentColliderToModel;0x802CA114
PartnerAfflictEnemy;0x80280004
PartnerCanUseAbility;0x802CFCA0
PartnerDamageEnemy;0x8027FDB4
PartnerIsFlying;0x802CFCE8
PartnerPowerBounceEnemy;0x80280270
PartnerTestEnemy;0x802804D0
PauseTakeTurn;0x802789A4
PeachEnterStage;0x80284D04
PlayAmbientSounds;0x802D611C
PlayDrinkFX;0x80287948
PlayEatFX;0x802878D0
PlayEffect;0x802D829C
PlayLoopingSoundAtActor;0x80253974
PlayModelAnimation;0x802CCE6C
PlaySound;0x802D6150
PlaySoundAt;0x802D61DC
PlaySoundAtActor;0x8025385C
PlaySoundAtCollider;0x802CA614
PlaySoundAtF;0x802D636C
PlaySoundAtModel;0x802CA558
PlaySoundAtNpc;0x802D01AC
PlaySoundAtPart;0x802538D0
PlaySoundAtPlayer;0x802D2CD8
PlayerCreateTargetList;0x8026E2CC
PlayerDamageEnemy;0x80274260
PlayerFaceNpc;0x802D1B04
PlayerFallToGoal;0x80273894
PlayerFirstStrike;0x802851FC
PlayerHappy;0x80288D64
PlayerJump;0x802D18E8
PlayerJump1;0x802D1904
PlayerJump2;0x802D1920
PlayerLandJump;0x80273B04
PlayerMoveTo;0x802D1134
PlayerPowerBounceEnemy;0x802744A0
PlayerRunToGoal;0x80273C64
PlayerTestEnemy;0x802746F0
PutPartnerAway;0x802CF988
RandInt;0x802D46B0
RegainAbility;0x80289110
RemoveActor;0x8027C7B0
RemoveActorDecoration;0x8026EF4C
RemoveBadge;0x802D7050
RemoveEffect;0x802D7AE4
RemoveEncounter;0x80044478
RemoveFortressKeys;0x802D6C94
RemoveItem;0x802D6B9C
RemoveItemAt;0x802D688C
RemoveItemEntity;0x802D6FCC
RemoveKeyItemAt;0x802D6858
RemoveNpc;0x80044340
RemovePartShadow;0x8026F59C
RemovePlayerBuffs;0x8026F44C
ResetActorSounds;0x8026F838
ResetAllActorSounds;0x8026F6EC
ResetCam;0x802CC8C8
ResetFromLava;0x802C9ED8
RestartNpcAI;0x80044C2C
RestartNpcAux;0x80044F38
ResumeTakeTurn;0x80278A1C
RotateGroup;0x802C98D8
RotateModel;0x802C8C64
RunAwayFail;0x80287078
RunAwayReset;0x80287128
RunAwayStart;0x802868BC
RunPartTo;0x8027ACAC
RunToGoal;0x80279E64
ScaleGroup;0x802C9A1C
ScaleModel;0x802C8D88
SetActionSuccess;0x802692C0
SetActorDispOffset;0x8026BA04
SetActorFlagBits;0x8026CE8C
SetActorFlags;0x8026CE30
SetActorIdleJumpGravity;0x8026B5D8
SetActorIdleSpeed;0x8026B6D0
SetActorJumpGravity;0x8026B55C
SetActorPos;0x8026AE40
SetActorRotation;0x8026C3AC
SetActorRotationOffset;0x8026C4AC
SetActorScale;0x8026C904
SetActorScaleModifier;0x8026C9C4
SetActorSize;0x8027D810
SetActorSounds;0x8026F740
SetActorSpeed;0x8026B654
SetActorType;0x8026FB20
SetActorVar;0x8026C044
SetActorYaw;0x8026B358
SetAnimation;0x8026B1B0
SetAnimationRate;0x8026B2D0
SetBattleCamOffsetZ;0x8024EA58
SetBattleCamTarget;0x8024E90C
SetBattleCamYaw;0x8024EAE4
SetBattleCamZoom;0x8024EC6C
SetBattleFlagBits;0x8026CD3C
SetBattleFlagBits2;0x8026CDCC
SetBattleInputButtons;0x8026E068
SetBattleInputMask;0x8026E050
SetBattleMusic;0x80044A38
SetBattleVar;0x8026F638
SetCamBGColor;0x802CAD98
SetCamDistance;0x802CBBE4
SetCamEnabled;0x802CA6C0
SetCamFlag80;0x802CA774
SetCamLeadPlayer;0x802CB680
SetCamPerspective;0x802CA828
SetCamPitch;0x802CBB48
SetCamPosA;0x802CBC58
SetCamPosB;0x802CBCF4
SetCamPosC;0x802CBD90
SetCamProperties;0x802CC3EC
SetCamSpeed;0x802CBEF0
SetCamTarget;0x802CAF2C
SetCamType;0x802CBAB4
SetCamViewport;0x802CAB18
SetDefenseTable;0x8027CA74
SetEncounterStatusFlags;0x80044180
SetEnemyFlagBits;0x80045688
SetEnemyHP;0x8027C5C8
SetEnemyTargetOffset;0x8026B0A0
SetForegroundModelsVisible;0x80253AEC
SetGameMode;0x802D5A28
SetGoalPos;0x8026A510
SetGoalToFirstTarget;0x8026A49C
SetGoalToHome;0x80269EC4
SetGoalToIndex;0x80269F94
SetGoalToTarget;0x8026A3A8
SetGroupEnabled;0x802C9308
SetHomePos;0x8026A2D0
SetIdleAnimations;0x8027CB7C
SetIdleGoal;0x8026A62C
SetIdleGoalToHome;0x80269F2C
SetItemFlags;0x802D7194
SetItemPos;0x802D70D0
SetJumpAnimations;0x8026B88C
SetMessageBoxDuration;0x80251408
SetMessageImages;0x802D0C70
SetMessageString;0x802D0CEC
SetMessageValue;0x802D0D44
SetModelFlag10;0x802C907C
SetModelFlags;0x802C9518
SetMusicTrack;0x802D5D4C
SetNpcAnimation;0x802CE0F4
SetNpcAnimationSpeed;0x802CE1C0
SetNpcAux;0x80044DA4
SetNpcCollisionSize;0x802CDF8C
SetNpcEffect;0x802D0118
SetNpcFlagBits;0x802CF060
SetNpcJumpscale;0x802CE088
SetNpcPos;0x802CDCB0
SetNpcRotation;0x802CDDB0
SetNpcScale;0x802CDED4
SetNpcSpeed;0x802CE01C
SetNpcVar;0x80045320
SetNpcYaw;0x802CEA84
SetOwnerID;0x8026DE28
SetOwnerTarget;0x8026E3A8
SetPanTarget;0x802CBE2C
SetPartAlpha;0x8026F470
SetPartDispOffset;0x8026BC38
SetPartEventBits;0x8026D3C8
SetPartEventFlags;0x8026D340
SetPartFlagBits;0x8026D010
SetPartFlags;0x8026CF88
SetPartGoalToTarget;0x8026A404
SetPartJumpGravity;0x8026B74C
SetPartMoveSpeed;0x8026B7EC
SetPartMovementVar;0x8026C22C
SetPartPos;0x8026AF18
SetPartRotation;0x8026C634
SetPartRotationOffset;0x8026C740
SetPartScale;0x8026CB4C
SetPartSize;0x8027D970
SetPartSounds;0x8026FA00
SetPartTargetFlagBits;0x8026D158
SetPartTargetFlags;0x8026D0D0
SetPartYaw;0x8026B438
SetPlayerActionState;0x802D10D8
SetPlayerAnimation;0x802D1084
SetPlayerAnimationSpeed;0x802D1104
SetPlayerCollisionSize;0x802D0FB0
SetPlayerFlagBits;0x802D1D60
SetPlayerJumpscale;0x802D1054
SetPlayerPos;0x802D0EF0
SetPlayerSpeed;0x802D1024
SetPushBlock;0x8028347C
SetPushBlockFallEffect;0x802837AC
SetRenderMode;0x802CA4F4
SetSelfEnemyFlagBits;0x80045524
SetSelfEnemyFlags;0x8004550C
SetSelfRotation;0x8004545C
SetSelfVar;0x8004525C
SetSpriteShading;0x802D9700
SetStatusTable;0x8027CB08
SetTargetActor;0x8027C548
SetTargetOffset;0x8027D380
SetTexPanOffset;0x802C9364
SetTexPanner;0x802C9000
SetValueByRef;0x802D58E0
SetZoneEnabled;0x802CA254
ShakeCam;0x802CB2A8
ShakeCam1;0x802D9CB0
ShakeCamX;0x802D9CE8
ShowBattleChoice;0x80253538
ShowChoice;0x802D0B6C
ShowCoinCounter;0x800E96F8
ShowEmote;0x802D78A0
ShowGotItem;0x802D73A4
ShowMessageAtScreenPos;0x802D0894
ShowMessageAtWorldPos;0x802D095C
ShowMessageBox;0x802512B4
ShowShockEffect;0x8026FBB0
ShowSleepBubble;0x802D8028
ShowStatusMenu;0x802D59DC
ShowVariableMessageBox;0x8025130C
SpeakToNpc;0x802D0304
SpeakToPlayer;0x802D02B0
StartBattle;0x80044840
StartBattleWith;0x80044860
StartBossBattle;0x8004489C
StartDefend;0x802852B8
StartRumble;0x80254218
StartRumbleWithParams;0x80267D9C
StopLoopingSoundAtActor;0x80253A18
StopSound;0x802D62B8
SummonEnemy;0x8026DB64
SwitchMessage;0x802D0AFC
TeleportPartnerToPlayer;0x8028387C
TranslateGroup;0x802C97B4
TranslateModel;0x802C8B60
UnfadeBackgroundFromBlack;0x8003EF98
UpdateColliderTransform;0x802CA188
UpdateLerp;0x802D462C
UseCamPreset;0x8024E61C
UseDoorSounds;0x802D6314
UseEntryHeading;0x802D1F70
UseExitHeading;0x802D216C
UseIdleAnimation;0x8026F0EC
UseLifeShroom;0x802879C0
UseMystery;0x80293E40
UseSettingsFrom;0x802CB860
VanishActor;0x80270614
WaitForBuffDone;0x8027114C
WaitForCam;0x802CC354
WaitForMessageBoxDone;0x802513CC
WasStatusInflicted;0x8027DC68
YieldTurn;0x8027D7F0
_Genld;0x8006C0B4
_Ldtob;0x8006BBD0
_Ldunscale;0x8006C01C
_Litob;0x8006B980
_Printf;0x80064AA0
_Putfld;0x80065020
_add_hit_vert_to_buffer;0x8005B9A0
_bound_script_trigger_handler;0x802C667C
_create_npc;0x80038598
_draw_message_box;0x8012CC08
_get_hit_vert_index_from_buffer;0x8005B9F4
_heap_create;0x80029030
_heap_free;0x8002921C
_heap_malloc;0x8002906C
_heap_malloc_tail;0x80029164
_heap_realloc;0x800292C4
_load_model_textures;0x80115B44
_load_string;0x8012591C
_npc_jump_to;0x802CE434
_play_sound;0x80149AB8
_remove_part_decoration;0x8025D03C
_set_game_mode;0x80112CA8
_set_music_track;0x8014A7E0
_show_message;0x802D0320
_spr_sign_extend_12bit;0x802DD0DC
_spr_sign_extend_16bit;0x802DD0FC
_update_message;0x80123898
_wrap_trig_lookup_value;0x8002A034
activate_defend_command;0x80260B04
add_SP;0x800EA1F4
add_actor_decoration;0x80267190
add_badge;0x800E773C
add_cam_zoom;0x8024E5B4
add_coins;0x800EA0C0
add_fortress_keys;0x800EA398
add_item;0x800E7574
add_part_decoration;0x80267114
add_star_pieces;0x800EA170
add_star_points;0x800EA128
add_vec2D_polar;0x80029F9C
add_xz_vec3f;0x80264128
add_xz_vec3f_copy1;0x802641C0
add_xz_vec3f_copy2;0x80264258
ai;0x8006AD64
alAudioFrame;0x800565C0
alHeapAlloc;0x80057F90
alLink;0x8004B3EC
alUnlink;0x8004B40C
al_CopyFileTableEntry;0x8005447C
al_CopyWords;0x80054F74
al_DmaCopy;0x80054E00
al_LoadBKHeaders;0x80054FC0
al_LoadBank;0x800547C8
al_LoadINIT;0x800542BC
al_LoadPER;0x800544F8
al_LoadPRG;0x800545B4
allocate_hit_tables;0x8005AEA0
appedGfx_npc_blur;0x8003AE38
appendGfx_item_entity;0x801321A4
appendGfx_model;0x80113090
appendGfx_model_group;0x80117C94
appendGfx_npc;0x80039FD0
appendGfx_player;0x800E12F4
appendGfx_player_spin;0x800E1704
atan2;0x80029C80
battle_heap_create;0x8002ACA0
bcmp;0x8006B870
bcopy;0x80064650
begin_battle;0x80241218
begin_state_battle;0x800338D0
begin_state_init;0x80033540
begin_state_intro;0x80036650
begin_state_logos;0x80033E70
begin_state_pause_menu;0x80034940
begin_state_title_screen;0x80036DF0
begin_state_world;0x80035D30
bind_dynamic_entity_3;0x80123158
bind_dynamic_entity_7;0x8012323C
bind_dynamic_entity_B;0x80123320
bind_enemy_ai;0x8003E94C
bind_enemy_aux;0x8003E9B4
bind_enemy_interact;0x8003EA1C
bind_npc_ai;0x8003EA84
bind_npc_aux;0x8003EB50
bind_npc_interact;0x8003EC1C
boot_idle;0x8005E90C
boot_main;0x80025F70
!bzero;0x80064970
calc_enemy_damage_target;0x8027742C
calc_enemy_test_target;0x802771F8
calc_item_check_hit;0x802515D0
calc_item_damage_enemy;0x802516E8
calc_partner_damage_enemy;0x8027E328
calc_partner_test_enemy;0x8027DF7C
calc_player_damage_enemy;0x80271944
calc_player_test_enemy;0x80271754
calculate_model_sizes;0x8011612C
cam_target_actor;0x8024E43C
can_pause;0x800E69DC
can_switch_to_player;0x802A5818
cancel_message;0x80125B08
check_block_input;0x80268ECC
check_input_hammer;0x800E60E0
check_input_jump;0x800E6160
check_input_midair_jump;0x800E4FCC
check_input_open_menus;0x800E6CE4
check_input_spin;0x800E6268
check_input_status_menu;0x800E728C
check_input_use_partner;0x800DFA00
clamp_angle;0x80029B24
clamp_printer_coords;0x80125AB8
clear_area_flag;0x8014554C
clear_area_flags;0x80145390
clear_character_set;0x80123660
clear_dynamic_entity_list;0x801230B8
clear_encounter_status;0x8003E400
clear_entity_data;0x80110CB8
clear_global_flag;0x801453E0
clear_icon_flags;0x80144A2C
clear_item_entity_data;0x80130FF0
clear_item_entity_flags;0x80134188
clear_model_data;0x80115D44
clear_npcs;0x800384BC
clear_partner_move_history;0x800EF45C
clear_player_data;0x800E73A0
clear_player_status;0x800DFC50
clear_printers;0x80123674
clear_saved_variables;0x80145320
clear_script_flags;0x802C4880
clear_script_list;0x802C31DC
clear_trigger_data;0x80145680
clear_virtual_models;0x80120BB0
clone_model;0x8011B6F0
close_action_command_instruction_popup;0x8024FB0C
close_message;0x80125C70
coin_counter_draw_content;0x800E92D8
collision_check_above;0x800DE7E4
collision_check_player_intersecting_world;0x800E4308
collision_heap_create;0x8002AD74
collision_heap_free;0x8002ADF4
collision_heap_malloc;0x8002ADB0
collision_main_above;0x800E27E0
collision_main_lateral;0x800E363C
contPakFileDelete;0x8005F864
contPakFileNum;0x8005F8D0
contPakFileOpen;0x8005F7B0
contPakFileReadWrite;0x8005F770
contPakFileState;0x8005F8A4
contPakFree;0x8005F748
contPakOpen;0x8005F6F8
contPakRepairId;0x8005F8FC
contQuery;0x80060870
contReadData;0x80060738
contReadNW;0x800607B4
contRetrace;0x8006065C
contRmbCheckMesg;0x8005FD10
contRmbForceStopEndMesg;0x8005FE54
contRmbForceStopMesg;0x8005FE0C
contRmbStartMesg;0x8005FD58
contRmbStopMesg;0x8005FDE4
copy_matrix;0x80029720
corrupted;0x8006D1D8
corrupted_init;0x8006D080
cos_deg;0x8002A350
cos_rad;0x8002A1D0
cosine;0x800293D4
coss;0x80061F00
count_power_plus;0x80263B10
count_targets;0x80269660
crash_create_monitor;0x8002C8B0
crash_delay_msec;0x8002BF40
crash_monitor_thread;0x8002C81C
crash_print_fpr;0x8002C2B8
crash_printf_string;0x8002C208
crash_show_handler;0x8002C3B0
create_actor;0x802653A4
create_basic_npc;0x80038844
create_cameras_a;0x8002DEF4
create_cameras_b;0x8002E038
create_entity;0x801118C4
create_entity_shadow;0x801121CC
create_icon;0x801414A4
create_npcs;0x800436B0
create_part_shadow;0x8026731C
create_partner_npc;0x80038880
create_popup;0x8024EF68
create_shadow_callback;0x802E0D90
create_shadow_from_data;0x80111BD8
create_shadow_type;0x80112260
create_standard_npc;0x80038864
create_target_list;0x80262240
create_trigger;0x8014576C
decode_yay0;0x8006EDF0
decrement_status_menu_disabled;0x800E9B30
deduct_current_move_fp;0x80263BC8
default_trigger_function_handler;0x80145670
delete_actor;0x80240BBC
delete_entity;0x801106D0
delete_entity_and_unload_data;0x80110790
delete_player_actor;0x80240D68
delete_trigger;0x80145BF4
disable_actor_blur;0x8025455C
disable_entity_fog;0x80123000
disable_npc_blur;0x8003ADAC
disable_npc_shadow;0x8003ABFC
disable_partner_blur;0x80254668
disable_player_blur;0x80254914
disable_player_input;0x800E0178
disable_player_shadow;0x800E00E4
disable_player_static_collisions;0x800E0114
disable_world_fog;0x8011BB64
dispatch_damage_event_actor;0x802786D4
dispatch_damage_event_actor_0;0x802788F8
dispatch_damage_event_actor_1;0x80278914
dispatch_damage_event_partner;0x8027F9CC
dispatch_damage_event_partner_0;0x8027FB80
dispatch_damage_event_partner_1;0x8027FB9C
dispatch_damage_event_player;0x802731BC
dispatch_damage_event_player_0;0x8027337C
dispatch_damage_event_player_1;0x802733A8
dispatch_event_actor;0x80277160
dispatch_event_general;0x80276F8C
dispatch_event_partner;0x8027DE80
dispatch_event_partner_continue_turn;0x8027DF0C
dispatch_event_player;0x80271658
dispatch_event_player_continue_turn;0x802716E4
dist2D;0x80029ED4
dist3D;0x80029F2C
dma_copy;0x8002973C
dma_load_string;0x80125804
do_camera_type_0;0x8002F850
do_camera_type_1;0x8002F290
do_camera_type_2;0x8002ECF8
do_camera_type_3;0x80031494
do_camera_type_4;0x8002E910
do_camera_type_5;0x80030000
do_camera_type_6;0x8002F990
do_camera_type_unused;0x8002FCE0
do_lateral_collision;0x800DEC04
does_script_exist;0x802C4164
does_script_exist_by_ref;0x802C41A4
dp;0x8006AE0C
draw_battle_wheel;0x802A1C54
draw_box;0x800F52E0
draw_coin_sparkles;0x80130B0C
draw_digit;0x801274C0
draw_enemy_health_bars;0x8023FFA0
draw_icon_0;0x801447A8
draw_icon_1;0x801447C4
draw_icon_2;0x801447E0
draw_item_entities;0x80132C80
draw_main_battle_ui;0x8023EA7C
draw_number;0x8012769C
draw_shop_items;0x80281524
draw_status_ui;0x800E973C
draw_string;0x801264EC
enable_actor_blur;0x802542CC
enable_entity_fog;0x80122FEC
enable_npc_blur;0x8003AD24
enable_npc_shadow;0x8003ABA0
enable_partner_ai;0x800EF328
enable_partner_blur;0x80254644
enable_partner_flying;0x800ED310
